model,date,episode,time,reward,avg_reward,n_params
coordconvnet,2021-12-14--14:31:51,0,2.306739330291748,-18.09999999999977,-18.09999999999977,104027
coordconvnet,2021-12-14--14:31:51,1,4.201131105422974,-17.92791519434619,-18.013957597172983,104027
coordconvnet,2021-12-14--14:31:51,2,5.867182970046997,-22.94430379746828,-19.657406330604747,104027
coordconvnet,2021-12-14--14:31:51,3,7.539682388305664,-23.684520123838972,-20.664184778913302,104027
coordconvnet,2021-12-14--14:31:51,4,9.364346981048584,-1.6949152542371626,-16.870330873978073,104027
coordconvnet,2021-12-14--14:31:51,5,10.993306875228882,-17.83564013840827,-17.031215751383105,104027
coordconvnet,2021-12-14--14:31:51,6,12.855969190597534,-13.312693498451882,-16.499998286678643,104027
coordconvnet,2021-12-14--14:31:51,7,14.355770111083984,-18.911688311688195,-16.80145953980484,104027
coordconvnet,2021-12-14--14:31:51,8,16.08730912208557,-27.384520123839103,-17.97735516025309,104027
coordconvnet,2021-12-14--14:31:51,9,17.76556897163391,-17.960431654676103,-17.975662809695393,104027
coordconvnet,2021-12-14--14:31:51,10,19.394246101379395,-17.882191780821778,-17.967165443434155,104027
coordconvnet,2021-12-14--14:31:51,11,21.126086235046387,-18.09363295880142,-17.977704403048094,104027
coordconvnet,2021-12-14--14:31:51,12,22.77984881401062,-18.02289156626501,-17.981180338680165,104027
coordconvnet,2021-12-14--14:31:51,13,24.451879501342773,-17.857664233576376,-17.972357759744177,104027
coordconvnet,2021-12-14--14:31:51,14,26.02100658416748,-18.028621908127086,-17.976108702969707,104027
coordconvnet,2021-12-14--14:31:51,15,27.6593496799469,-17.932258064516034,-17.973368038066354,104027
coordconvnet,2021-12-14--14:31:51,16,29.484049558639526,-31.825748502994344,-18.788213947768,104027
coordconvnet,2021-12-14--14:31:51,17,38.01224231719971,-18.03793103448273,-18.746531563696593,104027
coordconvnet,2021-12-14--14:31:51,18,39.59812951087952,-17.97142857142836,-18.705736669366686,104027
coordconvnet,2021-12-14--14:31:51,19,41.109559059143066,-18.09999999999982,-18.67544983589834,104027
