model,date,episode,time,reward,avg_reward,n_params
convnet,2021-12-14--06:46:46,0,3.0255038738250732,-21.60684931506844,-21.60684931506844,445955
convnet,2021-12-14--06:46:46,1,5.252055406570435,-17.874834437085962,-19.7408418760772,445955
convnet,2021-12-14--06:46:46,2,7.65639591217041,-16.981132075471624,-18.820938609208678,445955
convnet,2021-12-14--06:46:46,3,9.825069904327393,-19.362264150943243,-18.95626999464232,445955
convnet,2021-12-14--06:46:46,4,12.204495191574097,-18.057664233576563,-18.776548842429168,445955
convnet,2021-12-14--06:46:46,5,14.422351360321045,-17.8302013422817,-18.618824259071257,445955
convnet,2021-12-14--06:46:46,6,16.647016286849976,-17.877464788732283,-18.512915763308545,445955
convnet,2021-12-14--06:46:46,7,18.820002794265747,-18.721019108280167,-18.53892868143,445955
convnet,2021-12-14--06:46:46,8,21.233745574951172,-17.961484098939906,-18.474768172264433,445955
convnet,2021-12-14--06:46:46,9,23.395490407943726,-17.877464788732368,-18.415037833911228,445955
convnet,2021-12-14--06:46:46,10,25.922671794891357,-13.621262458471655,-17.97924007250763,445955
convnet,2021-12-14--06:46:46,11,28.13011121749878,-18.06363636363629,-17.986273096768354,445955
convnet,2021-12-14--06:46:46,12,29.814173460006714,-18.01290322580634,-17.988321568232813,445955
convnet,2021-12-14--06:46:46,13,31.97431993484497,-21.053488372092946,-18.20726205422282,445955
convnet,2021-12-14--06:46:46,14,34.220597982406616,-17.902788844621334,-18.18696384024939,445955
convnet,2021-12-14--06:46:46,15,36.714925050735474,-7.216494845360669,-17.501309528068845,445955
convnet,2021-12-14--06:46:46,16,38.735422134399414,-17.983050847457534,-17.52964725273877,445955
convnet,2021-12-14--06:46:46,17,68.16700291633606,-17.873134328358056,-17.548729868050952,445955
convnet,2021-12-14--06:46:46,18,70.28411746025085,-17.956934306569224,-17.57021431218349,445955
convnet,2021-12-14--06:46:46,19,71.44050550460815,-17.925435540069596,-17.587975373577798,445955
convnet,2021-12-14--06:46:46,20,73.75335812568665,-17.810299003322115,-17.598562213089433,445955
convnet,2021-12-14--06:46:46,21,75.94185018539429,-17.92693602693582,-17.613488295536996,445955
convnet,2021-12-14--06:46:46,22,78.1480655670166,-20.906918238993608,-17.756680901774242,445955
convnet,2021-12-14--06:46:46,23,80.55498623847961,-22.299999999999955,-17.945985864200306,445955
convnet,2021-12-14--06:46:46,24,82.97071313858032,-17.931182795698774,-17.945393741460247,445955
convnet,2021-12-14--06:46:46,25,85.10261178016663,-17.975080906148847,-17.94653555548673,445955
convnet,2021-12-14--06:46:46,26,87.06422162055969,-17.999335548172596,-17.948491110771393,445955
convnet,2021-12-14--06:46:46,27,89.34318327903748,-18.03564013840822,-17.951603576044135,445955
convnet,2021-12-14--06:46:46,28,91.71868920326233,-18.009225092250784,-17.953590524878845,445955
convnet,2021-12-14--06:46:46,29,94.15696120262146,6.719367588933127,-17.13115858775178,445955
convnet,2021-12-14--06:46:46,30,96.58506751060486,-18.028571428571386,-17.160107389068543,445955
convnet,2021-12-14--06:46:46,31,99.00369930267334,-17.88620689655168,-17.182797998677394,445955
convnet,2021-12-14--06:46:46,32,101.38489270210266,-17.871647509578388,-17.203672226280453,445955
convnet,2021-12-14--06:46:46,33,103.95595598220825,-3.0100334448160093,-16.786212262119733,445955
convnet,2021-12-14--06:46:46,34,106.23954701423645,-18.07801418439696,-16.823120888470513,445955
convnet,2021-12-14--06:46:46,35,108.3529748916626,-17.927777777777713,-16.85380580206238,445955
convnet,2021-12-14--06:46:46,36,137.91663813591003,-17.948314606741423,-16.883387121107756,445955
convnet,2021-12-14--06:46:46,37,140.0175266265869,-17.997435897435814,-16.91270419416902,445955
convnet,2021-12-14--06:46:46,38,142.43186259269714,-17.976923076922873,-16.939991857829376,445955
convnet,2021-12-14--06:46:46,39,144.55364274978638,-17.89393939393938,-16.963840546232127,445955
convnet,2021-12-14--06:46:46,40,146.98948335647583,-19.617571884983946,-17.02856570083583,445955
convnet,2021-12-14--06:46:46,41,149.35592031478882,-18.065886287625325,-17.053263810045102,445955
convnet,2021-12-14--06:46:46,42,151.6709644794464,-17.872727272727154,-17.07232109987492,445955
convnet,2021-12-14--06:46:46,43,154.1188142299652,-18.075432525951296,-17.0951190868312,445955
convnet,2021-12-14--06:46:46,44,156.60870575904846,14.503816793893376,-16.392920511703988,445955
convnet,2021-12-14--06:46:46,45,159.15472269058228,-7.142857142857229,-16.191832177598624,445955
convnet,2021-12-14--06:46:46,46,161.44502019882202,-17.99783393501795,-16.23025774690542,445955
convnet,2021-12-14--06:46:46,47,163.79281091690063,-21.792307692307645,-16.34613378743463,445955
convnet,2021-12-14--06:46:46,48,166.06301522254944,-17.996091205211656,-16.379806387797426,445955
convnet,2021-12-14--06:46:46,49,168.55077075958252,-16.66666666666637,-16.385543593374805,445955
convnet,2021-12-14--06:46:46,50,170.86785745620728,-17.90258899676369,-16.41528958167655,445955
convnet,2021-12-14--06:46:46,51,173.2187557220459,-18.030201342281813,-16.446345577072805,445955
convnet,2021-12-14--06:46:46,52,175.53065276145935,-17.899369085173458,-16.473761114961498,445955
convnet,2021-12-14--06:46:46,53,205.31885814666748,-10.596026490066032,-16.364914177463433,445955
convnet,2021-12-14--06:46:46,54,207.78038930892944,16.279069767442156,-15.771387196646968,445955
convnet,2021-12-14--06:46:46,55,210.14140796661377,-18.09273927392717,-15.812839912312683,445955
convnet,2021-12-14--06:46:46,56,212.58351039886475,-17.97543252595131,-15.850780133604589,445955
convnet,2021-12-14--06:46:46,57,215.2236156463623,4.234527687296653,-15.504481722899394,445955
convnet,2021-12-14--06:46:46,58,217.7528772354126,-18.01891891891865,-15.54709930249294,445955
convnet,2021-12-14--06:46:46,59,219.96349668502808,-21.810810810810718,-15.651494494298237,445955
convnet,2021-12-14--06:46:46,60,222.2905077934265,-18.082191780821844,-15.691341990798623,445955
convnet,2021-12-14--06:46:46,61,224.93044590950012,-23.899369085173415,-15.823729524578862,445955
convnet,2021-12-14--06:46:46,62,227.49373865127563,-6.614785992217618,-15.677555817715985,445955
convnet,2021-12-14--06:46:46,63,229.77367210388184,-17.978014184397075,-15.71350047969538,445955
convnet,2021-12-14--06:46:46,64,232.05367016792297,-17.828621908127147,-15.746040809363562,445955
convnet,2021-12-14--06:46:46,65,234.72363471984863,-8.805031446540745,-15.640874000835945,445955
convnet,2021-12-14--06:46:46,66,236.9865267276764,-18.03333333333328,-15.676582349082175,445955
convnet,2021-12-14--06:46:46,67,239.36079740524292,-18.035640138408162,-15.71127437539579,445955
convnet,2021-12-14--06:46:46,68,241.57559633255005,-18.063636363636263,-15.745366578123914,445955
convnet,2021-12-14--06:46:46,69,244.05362629890442,-17.9547169811319,-15.776928726738314,445955
convnet,2021-12-14--06:46:46,70,273.8283793926239,-17.96734693877531,-15.80777968747123,445955
convnet,2021-12-14--06:46:46,71,276.17429971694946,-17.904477611940166,-15.836900491977739,445955
convnet,2021-12-14--06:46:46,72,278.4221670627594,-18.018181818181578,-15.86678105809012,445955
convnet,2021-12-14--06:46:46,73,280.9859297275543,-17.908029197080104,-15.894365492400796,445955
convnet,2021-12-14--06:46:46,74,283.5802683830261,-11.439114391143722,-15.834962144384034,445955
convnet,2021-12-14--06:46:46,75,285.9560868740082,-19.521712538226186,-15.883472017987222,445955
convnet,2021-12-14--06:46:46,76,288.0024936199188,-17.907692307692177,-15.909760593178197,445955
convnet,2021-12-14--06:46:46,77,289.66647815704346,9.12941176470582,-15.588745562948915,445955
convnet,2021-12-14--06:46:46,78,292.0811412334442,-18.066903914590487,-15.620114656007669,445955
convnet,2021-12-14--06:46:46,79,294.36361813545227,-17.871477663230174,-15.648256693597949,445955
convnet,2021-12-14--06:46:46,80,296.8596966266632,-18.041791044775884,-15.677806500402616,445955
convnet,2021-12-14--06:46:46,81,299.3421576023102,-17.992569659442715,-15.7060353194153,445955
convnet,2021-12-14--06:46:46,82,301.9982566833496,-14.556962025316174,-15.692191062859889,445955
convnet,2021-12-14--06:46:46,83,303.3256869316101,9.214285714285548,-15.39568538694149,445955
convnet,2021-12-14--06:46:46,84,305.87426829338074,2.5641025641028254,-15.184393763988028,445955
convnet,2021-12-14--06:46:46,85,308.73259472846985,-18.06862745098025,-15.217931364999567,445955
convnet,2021-12-14--06:46:46,86,310.9843056201935,-18.07147766323003,-15.25073074773785,445955
convnet,2021-12-14--06:46:46,87,313.39077734947205,-17.95055762081761,-15.281410598568298,445955
convnet,2021-12-14--06:46:46,88,342.94655442237854,-17.983333333333118,-15.311769280981386,445955
convnet,2021-12-14--06:46:46,89,344.61907267570496,11.140157480314956,-15.01785898363365,445955
convnet,2021-12-14--06:46:46,90,346.85917043685913,-18.054817275747446,-15.051232151678855,445955
convnet,2021-12-14--06:46:46,91,349.59070205688477,9.154929577465138,-14.788121698101204,445955
convnet,2021-12-14--06:46:46,92,351.9876084327698,-18.004575163398535,-14.822707219233434,445955
convnet,2021-12-14--06:46:46,93,354.4977853298187,-18.02857142857116,-14.856812157630644,445955
convnet,2021-12-14--06:46:46,94,356.313560962677,13.160283687943226,-14.561895359256182,445955
convnet,2021-12-14--06:46:46,95,358.7511179447174,-18.025925925925737,-14.59797901099232,445955
convnet,2021-12-14--06:46:46,96,361.06703543663025,-18.058064516128866,-14.633649995581356,445955
convnet,2021-12-14--06:46:46,97,363.75937390327454,-2.356902356902317,-14.508377060492794,445955
convnet,2021-12-14--06:46:46,98,366.180864572525,-17.87006802721065,-14.542333534904087,445955
convnet,2021-12-14--06:46:46,99,368.80903720855713,1.6949152542375192,-14.37996104701267,445955
convnet,2021-12-14--06:46:46,100,371.073689699173,-18.092307692307664,-14.344815630785066,445955
convnet,2021-12-14--06:46:46,101,372.916544675827,8.374074074074207,-14.082326545673464,445955
convnet,2021-12-14--06:46:46,102,375.36573934555054,-17.97692307692282,-14.092284455687976,445955
convnet,2021-12-14--06:46:46,103,377.5954282283783,-17.993399339933895,-14.078595807577878,445955
convnet,2021-12-14--06:46:46,104,380.21346163749695,20.43795620437965,-13.693639603198319,445955
convnet,2021-12-14--06:46:46,105,382.1180508136749,10.744982698961595,-13.407887762785885,445955
convnet,2021-12-14--06:46:46,106,412.0291883945465,4.57516339869316,-13.183361480911634,445955
convnet,2021-12-14--06:46:46,107,414.33108615875244,-18.015789473683952,-13.176309184565671,445955
