model,date,episode,time,reward,avg_reward,n_params
convnet,2021-12-14--11:13:27,0,3.2171356678009033,-16.058394160583827,-16.058394160583827,445955
convnet,2021-12-14--11:13:27,1,5.527879238128662,-17.840614334470924,-16.949504247527376,445955
convnet,2021-12-14--11:13:27,2,7.768938779830933,-17.982191780821783,-17.293733425292178,445955
convnet,2021-12-14--11:13:27,3,10.293042659759521,-6.574394463667731,-14.613898684886067,445955
convnet,2021-12-14--11:13:27,4,12.647522449493408,-24.062264150943367,-16.503571778097527,445955
convnet,2021-12-14--11:13:27,5,14.744091510772705,-20.363112391930763,-17.14682854706973,445955
convnet,2021-12-14--11:13:27,6,17.16688060760498,-20.75231788079462,-17.661898451887573,445955
convnet,2021-12-14--11:13:27,7,19.38789439201355,-17.855555555555444,-17.686105589846058,445955
convnet,2021-12-14--11:13:27,8,21.424314498901367,-17.999999999999808,-17.720982746529806,445955
convnet,2021-12-14--11:13:27,9,23.567980766296387,-17.997909407665283,-17.748675412643355,445955
convnet,2021-12-14--11:13:27,10,25.918505668640137,-20.730201342281777,-18.019723224428667,445955
convnet,2021-12-14--11:13:27,11,27.337676286697388,-18.066666666666553,-18.02363517794849,445955
convnet,2021-12-14--11:13:27,12,29.800791263580322,-17.85263157894724,-18.010481054948393,445955
convnet,2021-12-14--11:13:27,13,31.860502004623413,-18.082539682539625,-18.01562809977634,445955
convnet,2021-12-14--11:13:27,14,34.416006088256836,-16.37630662020886,-17.906340001138506,445955
convnet,2021-12-14--11:13:27,15,36.79423141479492,-18.835051546391682,-17.96438447271683,445955
convnet,2021-12-14--11:13:27,16,38.929633140563965,-18.053583617747265,-17.969631481248033,445955
convnet,2021-12-14--11:13:27,17,41.40075492858887,-23.664174454828622,-18.285994979780288,445955
convnet,2021-12-14--11:13:27,18,70.33611130714417,-18.015412186379745,-18.27175378012763,445955
convnet,2021-12-14--11:13:27,19,72.38262152671814,-17.971604938271554,-18.256746338034826,445955
convnet,2021-12-14--11:13:27,20,74.87582206726074,-7.80141843971624,-17.75887358097204,445955
convnet,2021-12-14--11:13:27,21,77.08341217041016,-17.926936026935923,-17.766512783061305,445955
convnet,2021-12-14--11:13:27,22,79.34655904769897,-18.09609120521165,-17.780842279676538,445955
convnet,2021-12-14--11:13:27,23,81.76501131057739,26.050420168066648,-15.954539677687235,445955
convnet,2021-12-14--11:13:27,24,84.37290930747986,-14.556962025316208,-15.898636571592393,445955
convnet,2021-12-14--11:13:27,25,86.06491732597351,-18.080952380952223,-15.982571795029308,445955
convnet,2021-12-14--11:13:27,26,88.3213357925415,-18.097833935017803,-16.060914837251104,445955
convnet,2021-12-14--11:13:27,27,90.55307269096375,-17.996091205211684,-16.13002827896398,445955
convnet,2021-12-14--11:13:27,28,93.08436512947083,0.7462686567166542,-15.54808700531982,445955
convnet,2021-12-14--11:13:27,29,95.32650876045227,-17.93448275862047,-15.627633530429842,445955
convnet,2021-12-14--11:13:27,30,97.94874668121338,-16.083916083915994,-15.642352322477782,445955
convnet,2021-12-14--11:13:27,31,100.22035121917725,-17.997435897435835,-15.715948684195226,445955
convnet,2021-12-14--11:13:27,32,102.61842942237854,-17.999999999999908,-15.78516236043173,445955
convnet,2021-12-14--11:13:27,33,105.2108256816864,-10.03460207612442,-15.616028234422693,445955
convnet,2021-12-14--11:13:27,34,107.61184287071228,-17.931914893616852,-15.682196424685383,445955
convnet,2021-12-14--11:13:27,35,136.72581553459167,-18.098765432098656,-15.749323341557973,445955
convnet,2021-12-14--11:13:27,36,139.09644317626953,-17.87692307692302,-15.80682603710838,445955
convnet,2021-12-14--11:13:27,37,141.41524744033813,-18.00258899676372,-15.864609272888785,445955
convnet,2021-12-14--11:13:27,38,143.75908136367798,-17.830201342281793,-15.915009069539888,445955
convnet,2021-12-14--11:13:27,39,146.1556122303009,-17.956338028168837,-15.966042293505609,445955
convnet,2021-12-14--11:13:27,40,148.79592370986938,3.3333333333334916,-15.495325814802216,445955
convnet,2021-12-14--11:13:27,41,150.97593092918396,-17.920467836257185,-15.553067291503526,445955
convnet,2021-12-14--11:13:27,42,153.22412204742432,-18.058935361216545,-15.611343293124758,445955
convnet,2021-12-14--11:13:27,43,155.52239274978638,-17.836231884057725,-15.66190894291869,445955
convnet,2021-12-14--11:13:27,44,158.01140522956848,-17.908185053380592,-15.711826189817844,445955
convnet,2021-12-14--11:13:27,45,160.34338188171387,-17.982191780821836,-15.761181963535321,445955
convnet,2021-12-14--11:13:27,46,162.7229461669922,-18.0387622149837,-15.809641117821457,445955
convnet,2021-12-14--11:13:27,47,165.12704372406006,-17.941791044775993,-15.854060907966343,445955
convnet,2021-12-14--11:13:27,48,167.35264134407043,-18.07943925233636,-15.899476792545322,445955
convnet,2021-12-14--11:13:27,49,169.73041558265686,-17.95633802816892,-15.940614017257793,445955
convnet,2021-12-14--11:13:27,50,171.9760456085205,-18.007348242811442,-15.981138217758845,445955
convnet,2021-12-14--11:13:27,51,174.41557025909424,-21.882822085889522,-16.094632138299822,445955
convnet,2021-12-14--11:13:27,52,177.04252290725708,3.846153846154129,-15.718390893310122,445955
convnet,2021-12-14--11:13:27,53,206.37285804748535,-18.0402298850573,-15.761387911675811,445955
convnet,2021-12-14--11:13:27,54,208.8099241256714,-17.846953405017835,-15.799307284282031,445955
convnet,2021-12-14--11:13:27,55,210.6682801246643,-17.91921708185035,-15.837162816381467,445955
convnet,2021-12-14--11:13:27,56,213.05622935295105,-24.22101910828024,-15.984248014484953,445955
convnet,2021-12-14--11:13:27,57,215.48221731185913,-17.992739273927317,-16.018877174130512,445955
convnet,2021-12-14--11:13:27,58,217.7518231868744,-17.82456140350871,-16.0494819915776,445955
convnet,2021-12-14--11:13:27,59,220.37975025177002,-11.971830985915203,-15.981521141483226,445955
convnet,2021-12-14--11:13:27,60,222.95279026031494,-17.968749999999815,-16.014098663753987,445955
convnet,2021-12-14--11:13:27,61,225.42889618873596,-17.96666666666657,-16.04559169605903,445955
convnet,2021-12-14--11:13:27,62,227.84926676750183,-18.022222222222,-16.076966783775905,445955
convnet,2021-12-14--11:13:27,63,230.30666732788086,-17.960431654676125,-16.10639592238372,445955
convnet,2021-12-14--11:13:27,64,232.95104455947876,0.33444816053515225,-15.85345985956958,445955
convnet,2021-12-14--11:13:27,65,235.61205387115479,-12.621359223300777,-15.804488637807932,445955
convnet,2021-12-14--11:13:27,66,237.9120991230011,-17.996091205211677,-15.837199123888587,445955
convnet,2021-12-14--11:13:27,67,240.51080322265625,-17.917647058823402,-15.867793946461157,445955
convnet,2021-12-14--11:13:27,68,243.05451560020447,8.000000000000309,-15.521883889266064,445955
convnet,2021-12-14--11:13:27,69,245.37887454032898,-17.963576158940334,-15.55676520740427,445955
convnet,2021-12-14--11:13:27,70,274.73032307624817,-17.647058823529534,-15.586205962560964,445955
convnet,2021-12-14--11:13:27,71,277.2028388977051,-18.009225092250656,-15.619859006028877,445955
convnet,2021-12-14--11:13:27,72,279.48634219169617,-18.02105263157884,-15.652752069392575,445955
convnet,2021-12-14--11:13:27,73,282.1056830883026,-13.494809688581125,-15.623590685868097,445955
convnet,2021-12-14--11:13:27,74,284.52858114242554,-17.98772563176873,-15.655112485146772,445955
convnet,2021-12-14--11:13:27,75,286.6946289539337,-18.47796610169484,-15.692255295890824,445955
convnet,2021-12-14--11:13:27,76,288.92250061035156,-17.874834437085898,-15.720600479542707,445955
convnet,2021-12-14--11:13:27,77,291.5563590526581,-2.439024390243744,-15.550323863013233,445955
convnet,2021-12-14--11:13:27,78,292.9874815940857,-18.08724832214757,-15.582436830850378,445955
convnet,2021-12-14--11:13:27,79,295.23333716392517,-18.013588850173996,-15.61282623109192,445955
convnet,2021-12-14--11:13:27,80,297.61035799980164,-17.81355932203379,-15.639995775424538,445955
convnet,2021-12-14--11:13:27,81,300.2932686805725,13.712374581940091,-15.282040039359114,445955
convnet,2021-12-14--11:13:27,82,302.7870397567749,5.4545454545458085,-15.032201659914477,445955
convnet,2021-12-14--11:13:27,83,305.31387877464294,-17.988737201364906,-15.067398511598412,445955
convnet,2021-12-14--11:13:27,84,307.9671607017517,-18.027645051194288,-15.10222494147601,445955
convnet,2021-12-14--11:13:27,85,310.28282475471497,-17.83564013840818,-15.134008839114758,445955
convnet,2021-12-14--11:13:27,86,312.81572818756104,8.614232209738189,-14.861040551196906,445955
convnet,2021-12-14--11:13:27,87,315.1867847442627,-18.002588996763727,-14.896739965351076,445955
convnet,2021-12-14--11:13:27,88,344.62389039993286,-12.536443148687843,-14.870219776399802,445955
convnet,2021-12-14--11:13:27,89,346.41335892677307,14.742084942084292,-14.541194168416645,445955
convnet,2021-12-14--11:13:27,90,348.7268536090851,-17.999261992619697,-14.579194913737558,445955
convnet,2021-12-14--11:13:27,91,351.1357378959656,-17.982191780821662,-14.616184010118907,445955
convnet,2021-12-14--11:13:27,92,353.40024161338806,-17.969930069930008,-14.652245795708275,445955
convnet,2021-12-14--11:13:27,93,355.9706528186798,10.714285714285943,-14.382389077516846,445955
convnet,2021-12-14--11:13:27,94,358.37816047668457,-18.073426573426335,-14.421242103789577,445955
convnet,2021-12-14--11:13:27,95,360.8309223651886,-18.075432525951296,-14.45930658735376,445955
convnet,2021-12-14--11:13:27,96,363.1989574432373,-18.083333333333076,-14.496667687827774,445955
convnet,2021-12-14--11:13:27,97,365.75716042518616,7.011070110701457,-14.277200975597884,445955
convnet,2021-12-14--11:13:27,98,367.5786316394806,16.80967741935442,-13.9631921029216,445955
convnet,2021-12-14--11:13:27,99,369.87981939315796,-18.049999999999926,-14.004060181892383,445955
convnet,2021-12-14--11:13:27,100,372.3512899875641,-18.03636363636368,-14.02383987665018,445955
convnet,2021-12-14--11:13:27,101,375.16136837005615,-17.861484098939762,-14.02404857429487,445955
convnet,2021-12-14--11:13:27,102,377.6278736591339,-17.933085501858457,-14.023557511505235,445955
convnet,2021-12-14--11:13:27,103,379.9493293762207,-18.092929292929178,-14.138742859797851,445955
convnet,2021-12-14--11:13:27,104,382.52007126808167,-17.989855072463527,-14.078018769013054,445955
convnet,2021-12-14--11:13:27,105,411.5808148384094,-17.921019108280078,-14.053597836176548,445955
convnet,2021-12-14--11:13:27,106,414.08851385116577,10.671936758893642,-13.739355289779665,445955
convnet,2021-12-14--11:13:27,107,416.3218982219696,-17.9702127659574,-13.740501861883681,445955
convnet,2021-12-14--11:13:27,108,418.64353036880493,-17.969930069930026,-13.740201162582986,445955
convnet,2021-12-14--11:13:27,109,420.9335780143738,-17.955555555555417,-13.739777624061885,445955
convnet,2021-12-14--11:13:27,110,423.53395771980286,7.011070110701411,-13.462364909532058,445955
convnet,2021-12-14--11:13:27,111,426.255811214447,3.5714285714288683,-13.245983957151102,445955
convnet,2021-12-14--11:13:27,112,428.4795939922333,-17.88260869565212,-13.246283728318149,445955
convnet,2021-12-14--11:13:27,113,430.9740288257599,-17.81879194630858,-13.24364625095584,445955
convnet,2021-12-14--11:13:27,114,433.52407574653625,-17.96330935251777,-13.259516278278927,445955
convnet,2021-12-14--11:13:27,115,435.57542753219604,-17.949240121580456,-13.250658164030815,445955
convnet,2021-12-14--11:13:27,116,437.9020314216614,-17.965886287625235,-13.249781190729593,445955
convnet,2021-12-14--11:13:27,117,439.99278497695923,-18.097315436241523,-13.194112600543725,445955
convnet,2021-12-14--11:13:27,118,442.54108715057373,28.40466926070014,-12.729911786072925,445955
convnet,2021-12-14--11:13:27,119,445.00021862983704,-18.006451612903025,-12.730260252819239,445955
convnet,2021-12-14--11:13:27,120,447.42742896080017,-19.7025889967637,-12.849271958389718,445955
convnet,2021-12-14--11:13:27,121,449.3289542198181,11.080811808118106,-12.559194480039174,445955
convnet,2021-12-14--11:13:27,122,451.40080308914185,-17.93103448275844,-12.557543912814642,445955
convnet,2021-12-14--11:13:27,123,480.60692024230957,-17.9877256317687,-12.997925370812993,445955
convnet,2021-12-14--11:13:27,124,482.79304814338684,-18.074834437085862,-13.03310409493069,445955
convnet,2021-12-14--11:13:27,125,485.1956329345703,-18.0744966442952,-13.033039537564118,445955
convnet,2021-12-14--11:13:27,126,487.57311630249023,-18.007299270072732,-13.032134190914668,445955
convnet,2021-12-14--11:13:27,127,490.06466817855835,-17.957534246575285,-13.031748621328305,445955
convnet,2021-12-14--11:13:27,128,492.7184453010559,16.666666666666703,-12.872544641228806,445955
convnet,2021-12-14--11:13:27,129,495.321280002594,-18.049466192170662,-12.87369447556431,445955
convnet,2021-12-14--11:13:27,130,497.8807373046875,12.359550561798114,-12.589259809107165,445955
convnet,2021-12-14--11:13:27,131,500.2934937477112,-18.00804597701135,-12.589365909902922,445955
convnet,2021-12-14--11:13:27,132,501.8185067176819,10.665517241379149,-12.302710737489132,445955
convnet,2021-12-14--11:13:27,133,503.9278874397278,-17.997124600638788,-12.382335962734276,445955
convnet,2021-12-14--11:13:27,134,506.3097128868103,-17.892739273927305,-12.381944206537378,445955
convnet,2021-12-14--11:13:27,135,508.8984706401825,21.951219512194008,-11.981444357094453,445955
convnet,2021-12-14--11:13:27,136,511.36139273643494,-17.908185053380517,-11.981756976859028,445955
convnet,2021-12-14--11:13:27,137,513.9626977443695,3.0927835051548627,-11.770803251839844,445955
convnet,2021-12-14--11:13:27,138,515.6708290576935,-18.095379537953637,-11.773455033796562,445955
convnet,2021-12-14--11:13:27,139,517.8568842411041,-18.027777777777544,-11.774169431292648,445955
convnet,2021-12-14--11:13:27,140,520.2093615531921,-17.88219178082177,-11.986324682434203,445955
convnet,2021-12-14--11:13:27,141,549.5962219238281,-17.99016393442618,-11.987021643415892,445955
convnet,2021-12-14--11:13:27,142,551.7401638031006,-18.09339933993393,-11.987366283203066,445955
convnet,2021-12-14--11:13:27,143,554.0655765533447,18.174999999999073,-11.627253964362497,445955
convnet,2021-12-14--11:13:27,144,555.6988098621368,16.91565836298907,-11.279015530198802,445955
convnet,2021-12-14--11:13:27,145,558.1168141365051,15.271936758892451,-10.946474244801657,445955
