model,date,episode,time,reward,avg_reward,n_params
coordconvnet,2021-12-14--21:26:32,0,2.255282402038574,-20.07943925233637,-20.07943925233637,104027
coordconvnet,2021-12-14--21:26:32,1,3.956838369369507,-17.939926739926506,-19.00968299613144,104027
coordconvnet,2021-12-14--21:26:32,2,5.601686000823975,-27.604075235109768,-21.874480409124214,104027
coordconvnet,2021-12-14--21:26:32,3,7.225891590118408,-18.036231884057813,-20.914918277857613,104027
coordconvnet,2021-12-14--21:26:32,4,8.836907863616943,-20.371428571428503,-20.80622033657179,104027
coordconvnet,2021-12-14--21:26:32,5,10.447279453277588,-20.721019108280174,-20.79202013185652,104027
coordconvnet,2021-12-14--21:26:32,6,12.174086809158325,-9.747292418772355,-19.21420188713021,104027
coordconvnet,2021-12-14--21:26:32,7,13.823113203048706,-18.971428571428426,-19.18385522266749,104027
coordconvnet,2021-12-14--21:26:32,8,15.58437967300415,-31.353943217665886,-20.536087222111757,104027
coordconvnet,2021-12-14--21:26:32,9,17.306527376174927,-18.633898305084557,-20.345868330409036,104027
coordconvnet,2021-12-14--21:26:32,10,19.141190767288208,-23.566878980892007,-20.63868748045294,104027
coordconvnet,2021-12-14--21:26:32,11,20.865294456481934,-17.976923076923008,-20.41687378015878,104027
coordconvnet,2021-12-14--21:26:32,12,22.627235651016235,-17.989655172413613,-20.230164656486075,104027
coordconvnet,2021-12-14--21:26:32,13,24.374672651290894,-11.032028469750733,-19.573154928862124,104027
coordconvnet,2021-12-14--21:26:32,14,25.950330018997192,-19.469278996865093,-19.56622986672899,104027
coordconvnet,2021-12-14--21:26:32,15,27.59627103805542,-17.973426573426515,-19.466679660897583,104027
coordconvnet,2021-12-14--21:26:32,16,29.200693368911743,-20.71036789297655,-19.539837792196344,104027
coordconvnet,2021-12-14--21:26:32,17,37.671271324157715,-18.06043165467621,-19.457648562334114,104027
coordconvnet,2021-12-14--21:26:32,18,38.74660921096802,-18.09053627760244,-19.385695284190344,104027
coordconvnet,2021-12-14--21:26:32,19,40.2535035610199,-17.941610738254997,-19.313491056893575,104027
coordconvnet,2021-12-14--21:26:32,20,42.02838587760925,6.463878326996541,-18.085997276708333,104027
coordconvnet,2021-12-14--21:26:32,21,43.86258602142334,-16.666666666666607,-18.021482248979165,104027
coordconvnet,2021-12-14--21:26:32,22,45.66405940055847,-5.263157894736679,-17.46677249444688,104027
coordconvnet,2021-12-14--21:26:32,23,47.332940340042114,-17.91578947368405,-17.48548153524843,104027
coordconvnet,2021-12-14--21:26:32,24,49.02074933052063,-17.9666666666665,-17.504728940505153,104027
coordconvnet,2021-12-14--21:26:32,25,50.56644058227539,-17.85993265993261,-17.518390622021595,104027
coordconvnet,2021-12-14--21:26:32,26,52.21076822280884,-17.980620155038665,-17.53551023435556,104027
coordconvnet,2021-12-14--21:26:32,27,53.84649324417114,-17.925925925925668,-17.549453651911637,104027
coordconvnet,2021-12-14--21:26:32,28,55.50841784477234,-18.982191780821843,-17.598858414977506,104027
coordconvnet,2021-12-14--21:26:32,29,57.07216930389404,-22.898507462686496,-17.775513383234472,104027
coordconvnet,2021-12-14--21:26:32,30,58.61090564727783,-18.085906040268412,-17.785526049590406,104027
coordconvnet,2021-12-14--21:26:32,31,60.42174959182739,-15.38461538461524,-17.71049759130993,104027
coordconvnet,2021-12-14--21:26:32,32,62.02543115615845,-18.0540540540539,-17.720908393211264,104027
coordconvnet,2021-12-14--21:26:32,33,63.71932101249695,-17.998625429553165,-17.72907654133897,104027
coordconvnet,2021-12-14--21:26:32,34,72.23532772064209,-18.028571428571297,-17.737633538117034,104027
coordconvnet,2021-12-14--21:26:32,35,73.6774001121521,-18.07108433734934,-17.74689606031793,104027
coordconvnet,2021-12-14--21:26:32,36,75.56977033615112,-7.894736842105065,-17.48062148685272,104027
coordconvnet,2021-12-14--21:26:32,37,77.23890018463135,-19.218181818181716,-17.526346758729797,104027
coordconvnet,2021-12-14--21:26:32,38,78.89217853546143,-17.947540983606416,-17.537146610649714,104027
coordconvnet,2021-12-14--21:26:32,39,80.62443542480469,-18.072955974842685,-17.55054184475453,104027
coordconvnet,2021-12-14--21:26:32,40,82.44379806518555,-15.057915057914748,-17.489746069465756,104027
coordconvnet,2021-12-14--21:26:32,41,84.28784918785095,-23.534482758620612,-17.63366837158849,104027
coordconvnet,2021-12-14--21:26:32,42,85.77194285392761,-19.544444444444352,-17.678105024445603,104027
coordconvnet,2021-12-14--21:26:32,43,87.64243936538696,-11.864406779660712,-17.54597551888231,104027
coordconvnet,2021-12-14--21:26:32,44,89.30947375297546,-17.928301886792248,-17.55447166039142,104027
coordconvnet,2021-12-14--21:26:32,45,91.00005912780762,-18.09273927392728,-17.566173130250895,104027
coordconvnet,2021-12-14--21:26:32,46,92.83307003974915,-17.967346938775265,-17.574708743198222,104027
coordconvnet,2021-12-14--21:26:32,47,94.6023645401001,-25.55394321766564,-17.74094279474963,104027
coordconvnet,2021-12-14--21:26:32,48,96.20329666137695,-22.194704049844194,-17.831835881588294,104027
coordconvnet,2021-12-14--21:26:32,49,98.03291940689087,-18.1494661921707,-17.83818848779994,104027
coordconvnet,2021-12-14--21:26:32,50,99.70439457893372,-17.995053003533517,-17.841264262618246,104027
coordconvnet,2021-12-14--21:26:32,51,101.69046640396118,-6.906906906906846,-17.630988159623797,104027
coordconvnet,2021-12-14--21:26:32,52,110.47332310676575,-0.3436426116837965,-17.30481182853059,104027
coordconvnet,2021-12-14--21:26:32,53,112.12851786613464,-21.071477663230162,-17.374564899543547,104027
