model,date,episode,time,reward,avg_reward,n_params
convnet,2021-12-14--04:21:16,0,3.180253267288208,4.65116279069786,4.65116279069786,445955
convnet,2021-12-14--04:21:16,1,5.772705078125,-17.562724014336865,-6.4557806118195025,445955
convnet,2021-12-14--04:21:16,2,8.009917736053467,-19.51358885017413,-10.808383357937712,445955
convnet,2021-12-14--04:21:16,3,10.611781597137451,-25.373134328358457,-14.449571100542897,445955
convnet,2021-12-14--04:21:16,4,13.10675859451294,1.2145748987855436,-11.31674190067721,445955
convnet,2021-12-14--04:21:16,5,15.436650514602661,-27.31343283582108,-13.98285705653452,445955
convnet,2021-12-14--04:21:16,6,17.85688042640686,-24.199369085173466,-15.442358774911513,445955
convnet,2021-12-14--04:21:16,7,20.262685775756836,-17.293233082706678,-15.673718063385909,445955
convnet,2021-12-14--04:21:16,8,22.47585368156433,-18.06357615894033,-15.939257851780845,445955
convnet,2021-12-14--04:21:16,9,24.757563829421997,-23.179816513761377,-16.663313717978898,445955
convnet,2021-12-14--04:21:16,10,26.92703366279602,-17.844303797468235,-16.77067645247793,445955
convnet,2021-12-14--04:21:16,11,29.19047451019287,-18.053943217665488,-16.87761534957689,445955
convnet,2021-12-14--04:21:16,12,31.63154101371765,-17.976923076923068,-16.962177482449672,445955
convnet,2021-12-14--04:21:16,13,34.00930905342102,-17.954716981131916,-17.03307316092698,445955
convnet,2021-12-14--04:21:16,14,36.280922412872314,-17.935640138408196,-17.093244292759056,445955
convnet,2021-12-14--04:21:16,15,38.6847243309021,-17.940229885057384,-17.146180892277705,445955
convnet,2021-12-14--04:21:16,16,40.95069742202759,-18.099261992619766,-17.202244486415474,445955
convnet,2021-12-14--04:21:16,17,70.309561252594,-23.226229508196667,-17.53691032095887,445955
convnet,2021-12-14--04:21:16,18,72.57978534698486,-18.096091205211636,-17.566340893814278,445955
convnet,2021-12-14--04:21:16,19,74.94907736778259,-17.935051546391627,-17.584776426443145,445955
convnet,2021-12-14--04:21:16,20,77.4244065284729,-17.84494773519156,-17.597165536383546,445955
convnet,2021-12-14--04:21:16,21,80.03122925758362,-17.293233082706646,-17.583350424852778,445955
convnet,2021-12-14--04:21:16,22,82.18362474441528,-17.810810810810693,-17.593240006850948,445955
convnet,2021-12-14--04:21:16,23,84.48846197128296,-18.099999999999916,-17.61435500656549,445955
convnet,2021-12-14--04:21:16,24,87.12780475616455,-13.621262458471723,-17.45463130464174,445955
convnet,2021-12-14--04:21:16,25,89.50266695022583,-17.98772563176871,-17.475134932608164,445955
convnet,2021-12-14--04:21:16,26,91.88194346427917,-17.873426573426535,-17.489886474860693,445955
convnet,2021-12-14--04:21:16,27,94.1355528831482,-18.026829268292545,-17.509063003197546,445955
convnet,2021-12-14--04:21:16,28,96.6113338470459,-18.052631578947107,-17.52780674718891,445955
convnet,2021-12-14--04:21:16,29,98.93172073364258,-18.007299270072817,-17.54378983128504,445955
convnet,2021-12-14--04:21:16,30,101.34838080406189,-17.978714859437467,-17.55781967090286,445955
convnet,2021-12-14--04:21:16,31,103.77040696144104,-18.066903914590576,-17.5737285535181,445955
convnet,2021-12-14--04:21:16,32,106.44414687156677,-16.666666666666526,-17.546241829674113,445955
convnet,2021-12-14--04:21:16,33,108.93279480934143,-17.999999999999936,-17.559587658213108,445955
convnet,2021-12-14--04:21:16,34,138.45849990844727,-17.921404682274108,-17.569925287471992,445955
convnet,2021-12-14--04:21:16,35,140.56050181388855,-18.094704049844154,-17.584502475315663,445955
convnet,2021-12-14--04:21:16,36,142.59949922561646,-20.82272727272725,-17.672022064434895,445955
convnet,2021-12-14--04:21:16,37,144.99236488342285,-18.038762214983613,-17.681673121028282,445955
convnet,2021-12-14--04:21:16,38,147.59224486351013,-11.564625850339969,-17.5248257551132,445955
convnet,2021-12-14--04:21:16,39,149.99031233787537,-18.071428571428463,-17.53849082552108,445955
convnet,2021-12-14--04:21:16,40,152.63579392433167,-6.354515050167168,-17.26571092856123,445955
convnet,2021-12-14--04:21:16,41,155.38028240203857,-13.580246913580055,-17.17796178534739,445955
convnet,2021-12-14--04:21:16,42,158.0157916545868,-17.721518987341693,-17.190602650510048,445955
convnet,2021-12-14--04:21:16,43,160.5122139453888,-18.342105263157798,-17.21677316443386,445955
convnet,2021-12-14--04:21:16,44,162.7888331413269,-17.93255813953478,-17.23267949721388,445955
convnet,2021-12-14--04:21:16,45,165.20497608184814,-17.87692307692295,-17.246684792424947,445955
convnet,2021-12-14--04:21:16,46,167.67395281791687,-17.89999999999993,-17.260585115990374,445955
convnet,2021-12-14--04:21:16,47,169.92606139183044,-17.921019108280206,-17.274344157496415,445955
convnet,2021-12-14--04:21:16,48,172.30924105644226,-21.969278996865146,-17.370159154218225,445955
convnet,2021-12-14--04:21:16,49,174.7469801902771,-18.021404682274195,-17.383184064779346,445955
convnet,2021-12-14--04:21:16,50,177.1578450202942,-17.9833333333332,-17.39495169749609,445955
convnet,2021-12-14--04:21:16,51,206.9502923488617,-17.81764705882332,-17.40308045444469,445955
convnet,2021-12-14--04:21:16,52,209.51301264762878,-17.888737201364947,-17.41224378929224,445955
convnet,2021-12-14--04:21:16,53,211.2694320678711,-17.988888888888727,-17.422922402247732,445955
convnet,2021-12-14--04:21:16,54,213.91561579704285,-13.043478260869309,-17.34329614513176,445955
convnet,2021-12-14--04:21:16,55,216.31433820724487,-18.03630573248403,-17.35567131633448,445955
convnet,2021-12-14--04:21:16,56,218.9304552078247,-11.26279863481198,-17.248778813149872,445955
convnet,2021-12-14--04:21:16,57,221.195969581604,-17.823809523809487,-17.258693135747453,445955
convnet,2021-12-14--04:21:16,58,223.77470421791077,0.3584229390681556,-16.96009794803871,445955
convnet,2021-12-14--04:21:16,59,226.38090300559998,4.693140794223878,-16.59921063566767,445955
convnet,2021-12-14--04:21:16,60,228.73570013046265,-19.19306930693059,-16.641732908967064,445955
convnet,2021-12-14--04:21:16,61,231.5382857322693,-2.7777777777777084,-16.418120729431752,445955
convnet,2021-12-14--04:21:16,62,234.0231168270111,-17.922222222221944,-16.441995356301437,445955
convnet,2021-12-14--04:21:16,63,236.27495694160461,-18.075884244372872,-16.467524870177552,445955
convnet,2021-12-14--04:21:16,64,238.71944212913513,-17.97692307692284,-16.490746381050556,445955
convnet,2021-12-14--04:21:16,65,241.15048122406006,-17.921404682274186,-16.512423021978186,445955
convnet,2021-12-14--04:21:16,66,243.6784200668335,-17.837931034482583,-16.532206723657357,445955
convnet,2021-12-14--04:21:16,67,246.06758666038513,-17.96690391459064,-16.553305211759316,445955
convnet,2021-12-14--04:21:16,68,275.8420946598053,-14.728682170542323,-16.526861399567764,445955
convnet,2021-12-14--04:21:16,69,278.18380069732666,-17.83505154639164,-16.545549830236677,445955
convnet,2021-12-14--04:21:16,70,280.050466299057,9.43669064748217,-16.179602781254722,445955
convnet,2021-12-14--04:21:16,71,282.81821846961975,-29.86226415094354,-16.369639744722623,445955
convnet,2021-12-14--04:21:16,72,285.47828102111816,-17.9898550724636,-16.391834475239623,445955
convnet,2021-12-14--04:21:16,73,287.9072000980377,-17.968852459016233,-16.41314552907444,445955
convnet,2021-12-14--04:21:16,74,290.0572633743286,23.23870967741874,-15.8844541263212,445955
convnet,2021-12-14--04:21:16,75,292.674409866333,-11.764705882352674,-15.830246912584773,445955
convnet,2021-12-14--04:21:16,76,295.3775496482849,0.32362459546933253,-15.620456373519136,445955
convnet,2021-12-14--04:21:16,77,297.8246304988861,-17.810299003322214,-15.64853127902943,445955
convnet,2021-12-14--04:21:16,78,300.0770843029022,-17.972789115646084,-15.677952264303059,445955
convnet,2021-12-14--04:21:16,79,301.98726868629456,16.97971014492739,-15.269731484187679,445955
convnet,2021-12-14--04:21:16,80,303.78201603889465,10.047368421052482,-14.957174695234098,445955
convnet,2021-12-14--04:21:16,81,306.24473094940186,-18.002588996763535,-14.994313894033237,445955
convnet,2021-12-14--04:21:16,82,309.1134741306305,5.8823529411767925,-14.742787787584923,445955
convnet,2021-12-14--04:21:16,83,311.56491351127625,-17.97006802721085,-14.781207790437612,445955
convnet,2021-12-14--04:21:16,84,314.24203848838806,-11.564625850339938,-14.743365649965876,445955
convnet,2021-12-14--04:21:16,85,316.8705065250397,-17.93971631205652,-14.780532518129721,445955
convnet,2021-12-14--04:21:16,86,346.73380041122437,-0.9584664536741166,-14.621658195549772,445955
convnet,2021-12-14--04:21:16,87,349.0490097999573,-17.97272727272705,-14.659738525972237,445955
convnet,2021-12-14--04:21:16,88,351.69529247283936,-8.127208480565061,-14.586339311978897,445955
convnet,2021-12-14--04:21:16,89,353.87405586242676,11.345454545454666,-14.298208269118524,445955
convnet,2021-12-14--04:21:16,90,355.57310962677,-18.071428571428505,-14.339672228484567,445955
convnet,2021-12-14--04:21:16,91,357.9040048122406,-17.95342019543964,-14.3789520976906,445955
convnet,2021-12-14--04:21:16,92,360.24416518211365,-17.92862190812697,-14.417120590275939,445955
convnet,2021-12-14--04:21:16,93,362.86161851882935,-3.448275862068763,-14.30043075274182,445955
convnet,2021-12-14--04:21:16,94,365.086580991745,-18.253107344632625,-14.342037874761722,445955
convnet,2021-12-14--04:21:16,95,367.5498220920563,-17.85231788079453,-14.378603291491233,445955
convnet,2021-12-14--04:21:16,96,369.8412353992462,-17.92101910828019,-14.41512304217978,445955
convnet,2021-12-14--04:21:16,97,372.3136999607086,-18.048314606741574,-14.452196425491636,445955
convnet,2021-12-14--04:21:16,98,374.70124554634094,-17.935640138408075,-14.487382725622103,445955
convnet,2021-12-14--04:21:16,99,377.02779150009155,-18.030201342281785,-14.5228109117887,445955
convnet,2021-12-14--04:21:16,100,379.28308296203613,-18.984520123838905,-14.759167740934068,445955
convnet,2021-12-14--04:21:16,101,381.49693393707275,-17.90849673202608,-14.762625468110958,445955
convnet,2021-12-14--04:21:16,102,383.9440360069275,-17.981433224755452,-14.74730391185677,445955
convnet,2021-12-14--04:21:16,103,386.2552955150604,-21.970212765957378,-14.71327469623276,445955
convnet,2021-12-14--04:21:16,104,415.97174406051636,-25.600000000000023,-14.98142044522062,445955
convnet,2021-12-14--04:21:16,105,418.4389581680298,-18.04210526315765,-14.888707169493982,445955
convnet,2021-12-14--04:21:16,106,420.9239990711212,-17.942424242424078,-14.826137721066491,445955
convnet,2021-12-14--04:21:16,107,423.5341148376465,-17.918518518518233,-14.832390575424608,445955
convnet,2021-12-14--04:21:16,108,426.0322890281677,-17.977617328519756,-14.831530987120402,445955
convnet,2021-12-14--04:21:16,109,428.62969183921814,-17.562724014336773,-14.775360062126154,445955
convnet,2021-12-14--04:21:16,110,430.78742146492004,-17.980495356037107,-14.776721977711846,445955
convnet,2021-12-14--04:21:16,111,433.2621114253998,-17.931736526946082,-14.775499910804648,445955
convnet,2021-12-14--04:21:16,112,435.860976934433,-17.9804195804194,-14.775534875839613,445955
convnet,2021-12-14--04:21:16,113,438.3007128238678,-18.01467576791794,-14.776134463707471,445955
convnet,2021-12-14--04:21:16,114,440.855397939682,-17.932876712328596,-14.776106829446675,445955
convnet,2021-12-14--04:21:16,115,442.46208786964417,14.639568345323227,-14.450308847142871,445955
convnet,2021-12-14--04:21:16,116,444.96589279174805,-17.97567567567542,-14.449072983973426,445955
convnet,2021-12-14--04:21:16,117,447.56556844711304,-17.86308724832204,-14.39544156137468,445955
convnet,2021-12-14--04:21:16,118,449.4545497894287,24.06097560975558,-13.973870893225007,445955
convnet,2021-12-14--04:21:16,119,451.76329278945923,-18.333333333333293,-13.977853711094424,445955
convnet,2021-12-14--04:21:16,120,454.3999855518341,-8.75912408759095,-13.886995474618416,445955
convnet,2021-12-14--04:21:16,121,457.06774830818176,-17.938888888888613,-13.893452032680237,445955
convnet,2021-12-14--04:21:16,122,486.6930549144745,-17.986206896551487,-13.895205993537646,445955
convnet,2021-12-14--04:21:16,123,489.2049717903137,-17.981433224755456,-13.894020325785199,445955
convnet,2021-12-14--04:21:16,124,491.6202609539032,-17.995053003533307,-13.937758231235817,445955
convnet,2021-12-14--04:21:16,125,493.8410105705261,-17.853420195439675,-13.936415176872524,445955
convnet,2021-12-14--04:21:16,126,496.2760524749756,-17.97142857142834,-13.937395196852542,445955
convnet,2021-12-14--04:21:16,127,498.18774604797363,8.053046594982085,-13.676596438219795,445955
convnet,2021-12-14--04:21:16,128,500.58505630493164,16.63941605839338,-13.329675961846393,445955
convnet,2021-12-14--04:21:16,129,502.4733827114105,10.684386617100284,-13.042759102974662,445955
convnet,2021-12-14--04:21:16,130,504.0117402076721,-17.982445141065707,-13.042796405790943,445955
convnet,2021-12-14--04:21:16,131,505.8551678657532,-18.08837209302313,-13.04301108757527,445955
convnet,2021-12-14--04:21:16,132,506.8269782066345,13.287596899224653,-12.743468451916359,445955
